kode_cabang;nama_cabang
101;Bandung 1 K7
102;Bandung 2 Dago
107;Bandung Antapani
105;Bandung 3 Metro
121;Bandung 4 Karawitan
116;Cimahi
110;Karawang 1
114;Karawang 2
111;Purwakarta 1
115;Purwakarta 2
113;Cirebon
117;Bogor
118;Bekasi
123;Cikarang
301;Medan 1 Agus Salim
302;Medan 2 Tasbih
303;Medan 3 Johor
308;Medan Yos Sudarso
304;Binjai
305;Pekanbaru 1 Sisingamangaraja
306;Pekanbaru 2 Arifin
307;Padang
210;Pontianak
309;Palembang
207;Balikpapan
208;Makassar 1
230;Gowa
217;Samarinda 1
227;Denpasar
201;Surabaya 1 Jaksa Agung Suprapto
202;Surabaya 2 Gayungsari 1
203;Surabaya 3 Gayungsari 2
212;Surabaya 4 Rungkut
216;Surabaya 5 Kusuma Bangsa
213;Sidoarjo 1
225;Sidoarjo 2
218;Gresik 1
224;Gresik 2
205;Malang Sultan Agung
214;Ponorogo
222;Kediri
220;Solo
228;Madiun
229;Tegal
231;Mojokerto
310;Pekanbaru 3
311;Jambi
221;Yogyakarta
